system:index,Blue,Green,NDSI,NDVI,NDWI,NIR,Red,SWIR1,SWIR2,Thermal,class,random,.geo
1_1_1_1_6_1,0.317165,0.37178000000000005,0.93886614,-0.05196012,0.011059297,0.3896,0.41622,0.011722499999999997,0.011144999999999988,276.9535787,0,0.5352248198009779,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_6_3,0.360835,0.40687,0.90684205,-0.036594577,0.010834352,0.40710375000000004,0.42863625,0.019504999999999995,0.020659999999999998,276.49898204,0,0.6308760173873846,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_6_5,0.26888875,0.32215625000000003,0.9124194,-0.04713812,0.022925047,0.32908625,0.35104500000000005,0.014527499999999999,0.01562749999999999,276.53145323,0,0.7146567245247194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_7_0,0.2315575,0.26674375000000006,0.8781995,-0.027497364,0.006604421,0.27020875,0.27779875,0.017387499999999986,0.01808875,276.34858916,0,0.2625241863120956,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_7_1,0.33783125,0.374145,0.9042933,-0.055509474,0.03920692,0.3449675,0.38370125,0.019559999999999994,0.020426250000000007,276.28877380999995,0,0.7312712798610529,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_7_2,0.40413374999999996,0.44554875,0.9104326,-0.045457456,0.008339482,0.45274,0.48234375,0.021003749999999988,0.021856249999999994,276.30586390999997,0,0.07691077343749941,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_7_3,0.40413374999999996,0.44554875,0.9104326,-0.045457456,0.008339482,0.45274,0.48234375,0.021003749999999988,0.021856249999999994,276.30586390999997,0,0.2028931331577668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_0,0.26244,0.29055875,0.92701405,-0.12055688,0.123099476,0.22691,0.28907375,0.010691249999999985,0.009701249999999995,277.60642052000003,0,0.22883691909441672,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_2,0.29501374999999996,0.31513,0.93658066,-0.12922901,0.13375816,0.24075625,0.312215,0.009371249999999998,0.008587499999999998,277.36032308,0,0.15118215920774014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_4,0.28878499999999996,0.3260475,0.9219266,-0.110747375,0.09898845,0.26778875,0.33440749999999997,0.010539999999999994,0.0098525,276.90572642,0,0.35611960182397984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_5,0.28878499999999996,0.3260475,0.9219266,-0.110747375,0.09898845,0.26778875,0.33440749999999997,0.010539999999999994,0.0098525,276.90572642,0,0.09546732158760385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_6,0.253255,0.27845875,0.91613257,-0.09782263,0.08749098,0.23742875,0.28811125000000004,0.008876250000000002,0.008518749999999992,276.98434088,0,0.05609599647269781,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_7,0.28475625,0.3099325,0.91918445,-0.10895943,0.10486515,0.2535575,0.3138925,0.010966249999999997,0.010072499999999998,278.53270394000003,0,0.5045702537858495,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_8,0.27595625,0.29586625,0.93166065,-0.11841288,0.11888228,0.23294625,0.29557750000000005,0.010141250000000004,0.009261249999999999,277.98069371,0,0.027332970823823577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_9,0.27595625,0.29586625,0.93166065,-0.11841288,0.11888228,0.23294625,0.29557750000000005,0.010141250000000004,0.009261249999999999,277.98069371,0,0.011903162723181482,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_10,0.28961000000000003,0.30810375,0.93902487,-0.1310248,0.14181727,0.23190125,0.30144875,0.009137499999999993,0.008326250000000007,277.57736735000003,0,0.4981645744138069,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_11,0.26839375,0.29036625000000005,0.9394318,-0.13223237,0.1373265,0.22032375,0.28736875,0.008463750000000006,0.007996249999999996,277.28512664,0,0.16926659421295398,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_12,0.26839375,0.29036625000000005,0.9394318,-0.13223237,0.1373265,0.22032375,0.28736875,0.008463750000000006,0.007996249999999996,277.28512664,0,0.567937992254381,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_13,0.25095875,0.27092375,0.9351676,-0.123593785,0.123786144,0.211235,0.27084125000000003,0.008326249999999993,0.008051249999999996,277.19967613999995,0,0.012888309401228537,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_14,0.29049,0.32398499999999997,0.88248503,-0.103553794,0.10059637,0.27306874999999997,0.33167125,0.015077499999999994,0.013537500000000008,279.90674798,0,0.7142558193774717,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_15,0.26882,0.28934875,0.9125261,-0.13054791,0.13292763,0.22180875,0.28808374999999997,0.012368749999999998,0.011282499999999987,279.08129615,0,0.3918628743402741,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_16,0.26882,0.28934875,0.9125261,-0.13054791,0.13292763,0.22180875,0.28808374999999997,0.012368749999999998,0.011282499999999987,279.08129615,0,0.7458137754269307,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_17,0.3103175,0.332125,0.93560946,-0.13463908,0.14145453,0.250065,0.32757375,0.01022374999999999,0.009522500000000003,278.4233273,0,0.31978303362329674,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_19,0.2986025,0.31601,0.9410616,-0.13416354,0.14152399,0.237855,0.31128,0.009027499999999994,0.008436249999999992,277.86960806,0,0.3658995418316403,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_8_20,0.27755125,0.29775,0.93992895,-0.13911563,0.15009162,0.22024125,0.2911775,0.008491250000000006,0.008229999999999987,277.3808312,0,0.7485381354221516,"{""type"":""MultiPoint"",""coordinates"":[]}"
